gt,method1,method2
0,0.0065142727,0.0039746496
0,0.0028199793,0.0066441833
0,0.009263824,0.010670416
0,0.010464661,0.0061622104
0,0.004353242,0.015003637
0,0.019947046,0.055548877
0,0.012259664,0.012841719
0,0.005269541,0.006999601
0,0.01128693,0.015737716
0,0.005662644,0.011358764
0,0.014259972,0.0154573405
0,0.009148665,0.015774127
0,0.001284776,0.0025139337
0,0.009181116,0.011156685
0,0.0153914355,0.045217834
0,0.013046252,0.023933105
0,0.0076837526,0.011481832
0,0.012479841,0.0636168
0,0.004080932,0.010058995
0,0.0043978137,0.0046206345
0,0.0042149657,0.003451456
0,0.021945184,0.039427944
0,0.0031608143,0.0038058355
0,0.03191873,0.10362035
0,0.005317282,0.008840605
0,0.0013345171,0.0019014268
0,0.007974467,0.012364793
0,0.008056544,0.024342842
0,0.0014972328,0.0030226072
0,0.0028957436,0.0053918427
0,0.0032518469,0.0041467166
0,0.012783663,0.0409314
0,0.013424142,0.01931393
0,0.03854606,0.05128944
0,0.007101756,0.021090653
0,0.05379535,0.12973292
0,0.00047461424,0.00080029253
0,0.004494373,0.0030778109
0,0.010217491,0.0044764285
0,0.0045971354,0.0042638713
0,0.040753298,0.046625003
0,0.015216992,0.026473423
0,0.020442683,0.015520986
0,0.0022293206,0.0036934162
0,0.0023404232,0.0028312223
0,0.018329294,0.028114492
0,0.016373679,0.02704441
0,0.0011247853,0.0020080465
0,0.0052986266,0.0054743243
0,0.0066989623,0.013212808
0,0.006812427,0.008062746
0,0.0075603784,0.012979863
0,0.0041149077,0.004809454
0,0.002855927,0.0043701865
0,0.006824556,0.009810531
0,0.0005000846,0.0023295416
0,0.0034916273,0.005666261
0,0.0033073998,0.015679471
0,0.0013735298,0.00096818764
1,0.050763026,0.068057336
1,0.016030464,0.028514357
0,0.0042512086,0.004171728
0,0.0042476878,0.0012665355
0,0.0039390298,0.00451697
0,0.0034925004,0.009252348
0,0.005051349,0.005150038
0,0.018084813,0.026124513
0,0.0054884884,0.0045240982
0,0.00062430545,0.0006402321
0,0.00032241622,0.002451002
0,0.0053705303,0.021725338
0,0.02742018,0.053765062
0,0.0022304442,0.0021494043
0,0.0020244576,0.0018265455
0,0.006474443,0.015360798
0,0.0029966459,0.0036000381
0,0.030887885,0.035447937
0,0.0046124305,0.007963095
0,0.011604366,0.020881029
0,0.002405576,0.0022625474
0,0.008161397,0.009862244
0,0.0026864135,0.0056552785
0,0.052957352,0.1220888
0,0.004265998,0.0035847006
0,0.00854112,0.008481188
0,0.003204204,0.0043485053
0,0.0047498974,0.0058905073
0,0.005257096,0.008070649
0,0.002137835,0.010142852
0,0.006009668,0.00854749
0,0.00095557445,0.0016140654
0,0.021447262,0.029394949
0,0.034225423,0.025404708
0,0.0031446635,0.0149149215
0,0.0075418362,0.020009305
0,0.0020284236,0.0033657707
0,0.0012622933,0.0021132142
0,0.02704486,0.02292318
0,0.0006195174,0.0004824026
0,0.042357087,0.05302895
0,0.010224963,0.010862457
0,0.00318751,0.009021191
0,0.0036906078,0.005963493
0,0.0011400492,0.0013428911
0,0.008248711,0.013412458
0,0.0011982642,0.0015681747
0,0.0018458422,0.003260808
0,0.0026846803,0.0020310944
0,0.015723467,0.022757431
0,0.00441367,0.005366423
0,0.0015239351,0.003770173
0,0.006387419,0.017808167
0,0.0023051274,0.0035080046
0,0.007931192,0.007729274
0,0.004114442,0.004640601
0,0.0022154103,0.012186031
0,0.00250959,0.008326261
0,0.0092075085,0.008235639
0,0.3123965,0.22864006
0,0.15676337,0.11921096
0,0.011220289,0.011177325
0,0.010676221,0.015155485
0,0.0017929758,0.0044435104
0,0.0038339312,0.00811304
0,0.0040812613,0.0043409904
0,0.0083217425,0.0142163215
0,0.016143827,0.027311377
0,0.03806512,0.06397908
0,0.0030345127,0.0047348877
0,0.01752345,0.06739744
0,0.0041289376,0.004436321
0,0.0036161814,0.004633631
0,0.00801757,0.008709676
0,0.01624829,0.028139092
0,0.0072612446,0.02536194
0,0.0066200295,0.009816684
0,0.0057652346,0.009886691
0,0.01174512,0.0260098
0,0.00046946693,0.00086631277
0,0.0051593026,0.008474739
0,0.007566119,0.014124989
0,0.003421406,0.00327987
0,0.08305716,0.48891467
